kills,assists,deaths,total_gold,gold_per_min,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,xp_per_min,rank_tier
4.0,2.0,9.0,10353.0,439.0,0.03,7928.0,0.0,0.0,303.0,5.0
2.0,6.0,6.0,7664.0,325.0,0.07,5064.0,0.0,104.0,293.0,4.0
0.0,1.0,3.0,5518.0,234.0,0.05,3331.0,0.0,0.0,260.0,4.0
6.0,19.0,2.0,10264.0,434.0,0.05,13357.0,0.0,589.0,473.0,6.0
8.0,10.0,1.0,11257.0,476.0,0.07,13295.0,0.0,2358.0,560.0,6.0
11.0,10.0,5.0,9554.0,404.0,0.03,9530.0,7.0,1641.0,406.0,4.0
0.0,2.0,4.0,3547.0,150.0,0.01,940.0,1.0,87.0,80.0,5.0
6.0,1.0,9.0,6409.0,271.0,0.01,8048.0,2.0,0.0,316.0,4.0
5.0,6.0,7.0,8545.0,350.0,0.06,10771.0,7.0,2012.0,312.0,7.0
5.0,1.0,5.0,12525.0,513.0,0.14,12095.0,2.0,754.0,578.0,7.0
3.0,3.0,14.0,7251.0,297.0,0.06,11766.0,1.0,116.0,273.0,6.0
1.0,10.0,8.0,5371.0,220.0,0.03,7368.0,1.0,0.0,310.0,6.0
10.0,12.0,3.0,13917.0,570.0,0.12,12881.0,1.0,2308.0,613.0,6.0
17.0,4.0,2.0,16994.0,696.0,0.12,17322.0,0.0,13195.0,692.0,6.0
10.0,10.0,3.0,11890.0,487.0,0.07,14288.0,0.0,2059.0,551.0,7.0
3.0,13.0,5.0,8960.0,367.0,0.04,10224.0,8.0,290.0,401.0,6.0
11.0,0.0,2.0,12240.0,602.0,0.09,12009.0,0.0,5270.0,498.0,5.0
0.0,10.0,4.0,7665.0,377.0,0.05,7371.0,0.0,2544.0,304.0,4.0
2.0,7.0,5.0,7645.0,376.0,0.04,5536.0,0.0,0.0,299.0,3.0
1.0,5.0,6.0,4310.0,212.0,0.04,2924.0,0.0,17.0,275.0,4.0
1.0,6.0,6.0,5144.0,253.0,0.01,5907.0,0.0,15.0,261.0,4.0
7.0,5.0,2.0,11180.0,484.0,0.07,15151.0,0.0,92.0,501.0,4.0
7.0,8.0,2.0,14968.0,648.0,0.11,12765.0,0.0,3272.0,542.0,5.0
1.0,8.0,4.0,7484.0,324.0,0.01,3582.0,0.0,126.0,314.0,5.0
4.0,6.0,4.0,10025.0,434.0,0.06,7907.0,0.0,2381.0,351.0,4.0
3.0,7.0,5.0,4735.0,205.0,0.02,4924.0,0.0,0.0,254.0,5.0
6.0,1.0,7.0,8662.0,375.0,0.07,5195.0,0.0,76.0,424.0,4.0
3.0,6.0,5.0,7969.0,345.0,0.07,6377.0,0.0,717.0,409.0,5.0
3.0,5.0,4.0,7068.0,306.0,0.05,8452.0,0.0,0.0,420.0,5.0
8.0,5.0,8.0,14933.0,586.0,0.04,19961.0,0.0,0.0,651.0,3.0
12.0,5.0,5.0,15086.0,592.0,0.09,14720.0,0.0,3536.0,624.0,4.0
2.0,5.0,13.0,4763.0,185.0,0.01,6002.0,0.0,0.0,148.0,4.0
11.0,10.0,2.0,11175.0,434.0,0.05,14457.0,0.0,1339.0,510.0,4.0
8.0,12.0,2.0,7390.0,416.0,0.02,5976.0,0.0,470.0,369.0,8.0
5.0,10.0,3.0,5401.0,304.0,0.0,5815.0,0.0,808.0,282.0,8.0
1.0,4.0,4.0,3055.0,172.0,0.01,4612.0,0.0,0.0,154.0,8.0
2.0,1.0,7.0,3180.0,179.0,0.02,3346.0,0.0,0.0,217.0,8.0
1.0,2.0,6.0,4797.0,270.0,0.06,4746.0,0.0,0.0,245.0,8.0
3.0,0.0,5.0,6573.0,370.0,0.08,7111.0,0.0,223.0,389.0,7.0
5.0,14.0,5.0,9743.0,375.0,0.02,6464.0,0.0,141.0,309.0,2.0
3.0,7.0,4.0,8938.0,344.0,0.03,10643.0,0.0,539.0,342.0,3.0
11.0,11.0,5.0,15148.0,583.0,0.08,15007.0,0.0,1640.0,537.0,2.0
12.0,9.0,0.0,16473.0,634.0,0.1,17566.0,0.0,17500.0,540.0,3.0
2.0,7.0,10.0,7820.0,301.0,0.05,11286.0,0.0,0.0,277.0,3.0
3.0,9.0,8.0,6469.0,249.0,0.02,8969.0,0.0,0.0,291.0,3.0
4.0,5.0,5.0,9224.0,355.0,0.07,16471.0,0.0,0.0,403.0,3.0
0.0,3.0,6.0,4625.0,178.0,0.02,4885.0,0.0,0.0,230.0,2.0
3.0,3.0,8.0,7705.0,277.0,0.05,5763.0,0.0,0.0,305.0,4.0
2.0,4.0,11.0,5201.0,187.0,0.0,5071.0,0.0,0.0,241.0,5.0
5.0,27.0,7.0,9068.0,326.0,0.01,9169.0,0.0,191.0,415.0,4.0
16.0,14.0,0.0,19193.0,690.0,0.12,26001.0,0.0,3931.0,882.0,5.0
2.0,21.0,3.0,6228.0,271.0,0.01,10209.0,0.0,1172.0,347.0,5.0
11.0,14.0,3.0,12043.0,524.0,0.08,10278.0,0.0,2779.0,553.0,6.0
9.0,11.0,1.0,11284.0,491.0,0.08,16606.0,0.0,1255.0,467.0,5.0
11.0,14.0,2.0,13307.0,579.0,0.08,20381.0,0.0,9475.0,569.0,5.0
3.0,19.0,6.0,6389.0,278.0,0.01,7300.0,0.0,21.0,277.0,5.0
3.0,6.0,3.0,8710.0,379.0,0.07,11009.0,0.0,304.0,470.0,6.0
2.0,5.0,9.0,4504.0,196.0,0.01,6916.0,0.0,0.0,184.0,6.0
0.0,9.0,9.0,7952.0,346.0,0.06,14396.0,0.0,15.0,383.0,5.0
3.0,7.0,8.0,4826.0,210.0,0.01,6594.0,0.0,0.0,212.0,5.0
