kda,gold_efficiency,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,rune_pickups,teamfight_participation,xp_per_min,rank_tier
3.0,28.85,0.12,12780.0,0.0,5518.0,0,0,552.0,5.0
0.17,26.3,0.02,4461.0,0.0,126.0,0,0,179.0,5.0
6.0,26.3,0.06,3961.0,0.0,253.0,0,0,305.0,5.0
19.0,26.3,0.12,33970.0,0.0,6272.0,0,0,987.0,3.0
2.5,26.3,0.04,7441.0,0.0,2785.0,0,0,450.0,4.0
1.0,13.4,0.07,1478.0,0.0,1944.0,0,0,370.0,5.0
1.0,13.4,0.05,2812.0,0.0,1520.0,0,0,280.0,5.0
0.33,13.4,0.02,2245.0,0.0,0.0,0,0,136.0,5.0
1.2,13.4,0.08,7436.0,0.0,2845.0,0,0,508.0,5.0
17.0,28.55,0.13,17521.0,0.0,21.0,0,0,700.0,4.0
5.0,28.55,0.09,11773.0,0.0,10236.0,0,0,456.0,5.0
0.78,28.55,0.04,10480.0,0.0,102.0,0,0,381.0,4.0
0.56,28.55,0.03,5228.0,0.0,133.0,0,0,230.0,4.0
1.5,25.78,0.1,10765.0,0.0,0.0,0,0,524.0,7.0
1.17,25.78,0.01,7514.0,0.0,0.0,0,0,381.0,6.0
0.91,25.78,0.03,9621.0,0.0,0.0,0,0,344.0,6.0
2.33,25.78,0.07,19076.0,0.0,0.0,0,0,457.0,7.0
0.89,25.78,0.07,8511.0,0.0,1209.0,0,0,339.0,6.0
4.25,25.78,0.1,17142.0,0.0,4622.0,0,0,765.0,7.0
1.73,25.78,0.02,17046.0,0.0,411.0,0,0,518.0,7.0
3.0,25.78,0.07,10834.0,0.0,1294.0,0,0,579.0,6.0
2.0,25.78,0.02,12585.0,0.0,563.0,0,0,454.0,7.0
5.0,25.78,0.11,6009.0,0.0,14379.0,0,0,547.0,6.0
1.25,27.17,0.06,10562.0,0.0,0.0,0,0,381.0,7.0
0.73,27.17,0.06,4893.0,0.0,0.0,0,0,315.0,7.0
1.0,27.17,0.03,6808.0,0.0,0.0,0,0,238.0,7.0
2.57,27.17,0.06,17680.0,0.0,12.0,0,0,493.0,7.0
1.6,27.17,0.02,14370.0,0.0,807.0,0,0,314.0,7.0
4.0,27.17,0.11,14107.0,0.0,5141.0,0,0,596.0,7.0
5.25,27.17,0.02,6232.0,0.0,402.0,0,0,354.0,7.0
9.0,27.17,0.1,14197.0,0.0,7580.0,0,0,728.0,7.0
7.67,26.52,0.14,28892.0,0.0,7055.0,0,0,700.0,6.0
4.8,26.52,0.05,15236.0,0.0,1713.0,0,0,511.0,6.0
2.0,26.51,0.01,10349.0,0.0,405.0,0,0,308.0,5.0
0.25,26.52,0.14,2539.0,0.0,7093.0,0,0,557.0,6.0
2.2,26.51,0.09,15161.0,0.0,732.0,0,0,521.0,6.0
0.71,26.51,0.02,4611.0,0.0,35.0,0,0,369.0,5.0
2.33,26.52,0.06,10714.0,0.0,236.0,0,0,397.0,6.0
1.4,22.46,0.02,8075.0,0.0,0.0,0,0,296.0,4.0
6.5,22.47,0.06,11764.0,0.0,1724.0,0,0,482.0,3.0
2.0,22.47,0.04,6749.0,0.0,152.0,0,0,311.0,3.0
1.0,22.47,0.06,4434.0,0.0,5219.0,0,0,440.0,4.0
6.5,22.47,0.16,11875.0,0.0,7253.0,0,0,602.0,4.0
1.8,22.47,0.03,6093.0,0.0,2580.0,0,0,334.0,2.0
1.67,26.23,0.03,10080.0,0.0,188.0,0,0,508.0,5.0
0.3,26.23,0.08,4596.0,0.0,0.0,0,0,356.0,3.0
0.36,28.11,0.07,5837.0,0.0,90.0,0,0,302.0,4.0
0.67,28.11,0.03,9244.0,0.0,0.0,0,0,322.0,5.0
2.0,23.91,0.03,5721.0,0.0,1128.0,0,0,285.0,3.0
1.0,23.92,0.11,8001.0,0.0,2759.0,0,0,438.0,4.0
0.86,23.92,0.06,5568.0,0.0,1105.0,0,0,402.0,4.0
1.4,23.92,0.04,10163.0,0.0,204.0,0,0,273.0,4.0
0.6,23.91,0.03,4224.0,0.0,0.0,0,0,265.0,4.0
3.0,28.02,0.13,2743.0,0.0,2765.0,0,0,602.0,2.0
4.6,28.01,0.07,11554.0,0.0,3540.0,0,0,474.0,3.0
6.5,28.02,0.07,26509.0,0.0,6661.0,0,0,778.0,3.0
0.55,28.01,0.02,11707.0,0.0,0.0,0,0,249.0,3.0
0.57,28.02,0.03,3686.0,0.0,0.0,0,0,375.0,3.0
27.0,25.88,0.12,19506.0,0.0,7572.0,0,0,717.0,4.0
25.0,25.88,0.03,17614.0,0.0,1391.0,0,0,554.0,4.0
18.0,25.88,0.1,10024.0,0.0,5908.0,0,0,574.0,4.0
7.0,14.25,0.01,4417.0,0.0,1565.0,0,0,218.0,7.0
2.0,14.25,0.01,3041.0,0.0,1948.0,0,0,251.0,7.0
5.0,14.25,0.1,8693.0,0.0,164.0,0,0,575.0,7.0
3.5,14.25,0.1,5133.0,0.0,5313.0,0,0,375.0,7.0
6.0,14.25,0.1,3108.0,0.0,1844.0,0,0,433.0,7.0
0.33,14.25,0.04,2009.0,0.0,0.0,0,0,122.0,7.0
0.17,14.25,0.04,2593.0,0.0,0.0,0,0,231.0,7.0
